Country Name,Country Code,Series Name,Series Code,GDP per capita
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,502.115486913067
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5352.85741103671
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3948.34327892571
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40886.3911648431
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2973.59115979868
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17790.309306815
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10006.1489736082
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4622.73349328671
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,54907.1019101424
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50277.2750874213
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4793.58701966989
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,32933.4860147581
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23503.977126673
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1855.73982408046
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18148.2449264001
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6663.29529282582
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46116.69923368
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4815.1637107951
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1219.43267185875
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3552.0687621416
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6073.26520283208
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7961.33814014048
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8717.18627810819
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31086.7510792939
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9737.60135083347
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,774.8396902346
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,261.247472515742
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3603.7817936777
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1643.12138876475
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1497.90917560296
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46194.7252255167
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,467.907440636335
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,709.540310138533
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14896.4538665789
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10261.6791283744
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6432.38758339551
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1393.52237156461
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,545.216212311342
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2011.07239887663
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12238.3749643984
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2286.162776855
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,14853.2398374635
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,27858.3709958327
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23101.7777049854
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,59822.0929608968
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3408.84625440838
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8300.37507427213
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8282.1162218645
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6183.82382482173
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3020.03134971543
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4187.2500311069
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,8131.92388810912
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23659.8722900339
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3837.02699384472
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,857.501351042922
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,6220.04642089247
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48685.8539866945
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40493.9285720456
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7667.36686126914
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,751.294688388742
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4769.18654326351
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46258.8782897052
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2202.11556738065
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,19582.5360108329
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,10965.5131592044
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4619.98709708493
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1064.13123736656
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,697.784402885715
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,5468.35662903592
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,754.58791774842
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2574.91219067443
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,48755.8350791287
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16475.7418389402
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,66944.8255080349
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2104.14590003333
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4135.56926281554
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5955.10901036816
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,78660.9564629603
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,43641.3977358108
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,33189.5657988542
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5582.26377755211
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40246.8801284164
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4330.32934593257
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9731.14520688729
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1816.5469164389
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1655.07883905984
"Korea, Dem. Peopleâ€™s Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31761.9776923447
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4417.50993975428
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,32031.9801025988
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1309.39299165512
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2534.89827724281
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17836.3648865958
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,7784.31685692976
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1157.53516433147
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,621.892953622715
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,7683.75061122959
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,19455.4541266341
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,114704.594170863
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,84096.3963112065
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,522.21980923047
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,411.552340423602
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11414.8376618668
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,10790.50023682
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,890.737285506382
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,29416.2306070084
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1677.91925268633
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11203.5405848607
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9863.0726988757
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,4498.52085021233
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4295.23502487944
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,8832.03683598629
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3204.09500313298
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,491.804723063735
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1407.81314341043
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4957.4580058497
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,9396.98196681072
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1071.05076056552
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52447.8314391911
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,42084.3533748088
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1912.90374537869
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,554.600968697425
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2229.85869624463
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,6093.14769049676
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,75419.6348688089
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,15474.0324753635
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1284.70204090039
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,15731.0160348471
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2845.18018574842
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5414.79913793258
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6977.69578355382
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3485.08421836621
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15595.2270334259
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,23145.0408172828
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,32873.7192730424
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,64781.7331974169
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,12919.5296441908
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11584.9953826104
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,801.656186978807
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4315.92067469565
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1994.90646719089
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,23139.7986561214
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1446.83096499408
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7402.35455862041
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,17401.7215135612
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,504.46254336648
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,65233.2824392302
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,19329.0968007902
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,25739.2478143246
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2127.53850760272
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6001.40081394888
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29613.6711379783
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3853.08369288942
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,19896.4957043824
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,11611.4154473966
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,7463.53783093423
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,441.505603374484
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,6854.90656148409
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51610.0660552202
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,81993.7271494202
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,870.787589323223
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1122.12181047515
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7808.19291629949
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1294.18893388776
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,675.542213340634
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,17276.4654468225
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3317.54101348345
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9042.49298288882
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,4059.02999569444
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,776.768575885308
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3659.03131229487
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,43103.3230583165
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,42300.267125825
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,65118.3583328163
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,16190.1269572827
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,1724.8411344137
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3058.0656752208
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,2715.27603640721
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1291.34335737364
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1463.98591018054
